timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663586216133,1228,POST Request SignIn,200,OK,Performance Test 1-1,text,true,,663,291,1,1,https://qauto2.forstudy.space/api/auth/signin,1224,0,664
1663586218382,69,POST Request AddCar Json,201,Created,Performance Test 1-1,text,true,,540,353,1,1,https://qauto2.forstudy.space/api/cars,69,0,0
1663586218783,56,GET Request Mycar,200,OK,Performance Test 1-1,text,true,,1184,264,1,1,https://qauto2.forstudy.space/api/cars,56,0,0
1663586219331,63,PUT Request Changemileage Json,200,OK,Performance Test 1-1,text,true,,536,314,1,1,https://qauto2.forstudy.space/api/cars/66416,63,0,0
1663586219885,52,DEL Request Del car Json,200,OK,Performance Test 1-1,text,true,,335,317,1,1,https://qauto2.forstudy.space/api/cars/66416,52,0,0
1663586220233,54,GET Request NOcar,200,OK,Performance Test 1-1,text,true,,969,264,1,1,https://qauto2.forstudy.space/api/cars,53,0,0
1663586220292,68,GET Request Logout,200,OK,Performance Test 1-1,text,true,,497,271,1,1,https://qauto2.forstudy.space/api/auth/logout,68,0,0
1663586220862,527,POST Request SignIn,200,OK,Performance Test 1-1,text,true,,659,291,1,1,https://qauto2.forstudy.space/api/auth/signin,527,0,0
1663586222055,636,POST Request SignIn,200,OK,Performance Test 1-2,text,true,,661,291,2,2,https://qauto2.forstudy.space/api/auth/signin,636,0,96
1663586222392,309,POST Request AddCar Json,201,Created,Performance Test 1-1,text,true,,540,349,2,2,https://qauto2.forstudy.space/api/cars,308,0,0
1663586222993,52,GET Request Mycar,200,OK,Performance Test 1-1,text,true,,1184,260,2,2,https://qauto2.forstudy.space/api/cars,52,0,0
1663586223541,58,PUT Request Changemileage Json,200,OK,Performance Test 1-1,text,true,,536,310,2,2,https://qauto2.forstudy.space/api/cars/66417,58,0,0
1663586223695,57,POST Request AddCar Json,201,Created,Performance Test 1-2,text,true,,540,351,2,2,https://qauto2.forstudy.space/api/cars,57,0,0
1663586224043,54,GET Request Mycar,200,OK,Performance Test 1-2,text,true,,1401,262,2,2,https://qauto2.forstudy.space/api/cars,54,0,0
1663586224096,52,DEL Request Del car Json,200,OK,Performance Test 1-1,text,true,,335,313,2,2,https://qauto2.forstudy.space/api/cars/66417,52,0,0
